year,game_number,date,points
2008,1,2007-10-31,18
2008,2,2007-11-01,27
2008,3,2007-11-04,24
2008,4,2007-11-06,27
2008,5,2007-11-07,17
2008,6,2007-11-09,20
2008,7,2007-11-11,19
2008,8,2007-11-13,10
2008,9,2007-11-14,18
2008,10,2007-11-16,21
2008,11,2007-11-17,16
2008,12,2007-11-19,11
2008,13,2007-11-23,12
2008,14,2007-11-25,25
2008,15,2007-11-27,25
2008,16,2007-11-28,22
2008,17,2007-11-30,35
2008,18,2007-12-02,6
2008,19,2007-12-05,16
2008,20,2007-12-07,35
2008,21,2007-12-09,23
2008,22,2007-12-11,16
2008,23,2007-12-12,30
2008,24,2007-12-14,13
2008,25,2007-12-15,6
2008,26,2007-12-19,18
2008,27,2007-12-21,27
2008,28,2007-12-25,23
2008,29,2007-12-27,25
2008,30,2007-12-29,6
2008,31,2008-01-03,28
2008,32,2008-01-06,19
2008,33,2008-01-08,24
2008,34,2008-01-09,15
2008,35,2008-01-11,15
2008,36,2008-01-14,19
2008,37,2008-01-16,20
2008,38,2008-01-18,22
2008,39,2008-01-19,6
2008,40,2008-01-21,12
2008,41,2008-01-23,25
2008,42,2008-01-25,17
2008,43,2008-01-27,19
2008,44,2008-01-29,26
2008,45,2008-01-31,24
2008,46,2008-02-02,21
2008,47,2008-02-04,20
2008,48,2008-02-06,17
2008,49,2008-02-08,9
2008,50,2008-02-13,19
2008,51,2008-02-21,20
2008,52,2008-02-22,17
2008,53,2008-02-24,15
2008,54,2008-02-26,21
2008,55,2008-02-27,16
2008,56,2008-02-29,24
2008,57,2008-03-02,25
2008,58,2008-03-04,20
2008,59,2008-03-05,23
2008,60,2008-03-07,14
2008,61,2008-03-09,20
2008,62,2008-03-11,27
2008,63,2008-03-12,16
2008,64,2008-03-14,24
2008,65,2008-03-16,23
2008,66,2008-03-19,16
2008,67,2008-03-21,20
2008,68,2008-03-22,23
2008,69,2008-03-24,23
2008,70,2008-03-26,32
2008,71,2008-03-28,18
2008,72,2008-03-30,25
2008,73,2008-04-02,30
2008,74,2008-04-04,4
2008,75,2008-04-06,37
2008,76,2008-04-08,16
2008,77,2008-04-09,26
2008,78,2008-04-11,20
2008,79,2008-04-13,19
2008,80,2008-04-16,42
2009,1,2008-10-29,12
2009,2,2008-11-01,26
2009,3,2008-11-02,18
2009,4,2008-11-05,17
2009,5,2008-11-07,24
2009,6,2008-11-09,20
2009,7,2008-11-10,37
2009,8,2008-11-14,23
2009,9,2008-11-15,13
2009,10,2008-11-17,29
2009,11,2008-11-19,18
2009,12,2008-11-21,17
2009,13,2008-11-22,30
2009,14,2008-11-25,29
2009,15,2008-11-26,13
2009,16,2008-11-28,22
2009,17,2008-11-29,30
2009,18,2008-12-03,24
2009,19,2008-12-05,16
2009,20,2008-12-06,18
2009,21,2008-12-08,41
2009,22,2008-12-10,28
2009,23,2008-12-13,22
2009,24,2008-12-14,28
2009,25,2008-12-16,25
2009,26,2008-12-19,26
2009,27,2008-12-21,26
2009,28,2008-12-23,28
2009,29,2008-12-26,26
2009,30,2008-12-27,25
2009,31,2008-12-29,18
2009,32,2008-12-31,25
2009,33,2009-01-02,33
2009,34,2009-01-06,27
2009,35,2009-01-07,9
2009,36,2009-01-09,27
2009,37,2009-01-10,28
2009,38,2009-01-12,26
2009,39,2009-01-14,21
2009,40,2009-01-16,32
2009,41,2009-01-18,31
2009,42,2009-01-21,27
2009,43,2009-01-23,46
2009,44,2009-01-26,18
2009,45,2009-01-28,35
2009,46,2009-01-30,29
2009,47,2009-02-01,33
2009,48,2009-02-04,31
2009,49,2009-02-06,31
2009,50,2009-02-08,39
2009,51,2009-02-10,31
2009,52,2009-02-11,20
2009,53,2009-02-17,47
2009,54,2009-02-20,35
2009,55,2009-02-21,32
2009,56,2009-02-24,32
2009,57,2009-02-27,6
2009,58,2009-03-14,22
2009,59,2009-03-16,25
2009,60,2009-03-18,28
2009,61,2009-03-20,24
2009,62,2009-03-22,30
2009,63,2009-03-24,24
2009,64,2009-03-27,18
2009,65,2009-03-29,21
2009,66,2009-03-31,31
2009,67,2009-04-03,13
2009,68,2009-04-05,25
2009,69,2009-04-07,24
2009,70,2009-04-08,31
2009,71,2009-04-10,20
2009,72,2009-04-11,19
2009,73,2009-04-13,10
2009,74,2009-04-15,26
2010,1,2009-10-28,25
2010,2,2009-10-30,25
2010,3,2009-11-01,16
2010,4,2009-11-03,28
2010,5,2009-11-06,27
2010,6,2009-11-08,28
2010,7,2009-11-10,37
2010,8,2009-11-11,30
2010,9,2009-11-14,25
2010,10,2009-11-15,40
2010,11,2009-11-17,32
2010,12,2009-11-18,12
2010,13,2009-11-20,35
2010,14,2009-11-22,19
2010,15,2009-11-24,28
2010,16,2009-11-27,33
2010,17,2009-11-29,25
2010,18,2009-12-02,33
2010,19,2009-12-04,36
2010,20,2009-12-07,28
2010,21,2009-12-11,32
2010,22,2009-12-13,29
2010,23,2009-12-14,32
2010,24,2009-12-16,12
2010,25,2009-12-18,27
2010,26,2009-12-19,13
2010,27,2009-12-22,30
2010,28,2009-12-23,38
2010,29,2009-12-26,30
2010,30,2009-12-28,40
2010,31,2009-12-29,35
2010,32,2009-12-31,31
2010,33,2010-01-02,31
2010,34,2010-01-04,25
2010,35,2010-01-06,27
2010,36,2010-01-09,40
2010,37,2010-01-11,30
2010,38,2010-01-13,35
2010,39,2010-01-15,30
2010,40,2010-01-16,36
2010,41,2010-01-18,29
2010,42,2010-01-20,31
2010,43,2010-01-22,30
2010,44,2010-01-23,34
2010,45,2010-01-27,28
2010,46,2010-01-29,30
2010,47,2010-01-31,45
2010,48,2010-02-02,33
2010,49,2010-02-03,30
2010,50,2010-02-06,29
2010,51,2010-02-09,33
2010,52,2010-02-16,25
2010,53,2010-02-20,36
2010,54,2010-02-21,32
2010,55,2010-02-23,36
2010,56,2010-02-24,21
2010,57,2010-02-26,25
2010,58,2010-02-28,29
2010,59,2010-03-02,39
2010,60,2010-03-03,19
2010,61,2010-03-05,32
2010,62,2010-03-07,27
2010,63,2010-03-10,29
2010,64,2010-03-12,32
2010,65,2010-03-14,35
2010,66,2010-03-17,26
2010,67,2010-03-19,31
2010,68,2010-03-21,16
2010,69,2010-03-22,45
2010,70,2010-03-24,25
2010,71,2010-03-26,26
2010,72,2010-03-28,29
2010,73,2010-03-30,26
2010,74,2010-03-31,37
2010,75,2010-04-03,23
2010,76,2010-04-04,40
2010,77,2010-04-06,45
2010,78,2010-04-07,33
2010,79,2010-04-09,35
2010,80,2010-04-11,40
2010,81,2010-04-12,30
2010,82,2010-04-14,31
2011,1,2010-10-27,30
2011,2,2010-10-29,30
2011,3,2010-10-31,28
2011,4,2010-11-03,16
2011,5,2010-11-04,28
2011,6,2010-11-07,34
2011,7,2010-11-10,31
2011,8,2010-11-12,34
2011,9,2010-11-14,23
2011,10,2010-11-15,30
2011,11,2010-11-17,24
2011,12,2010-11-22,28
2011,13,2010-11-24,32
2011,14,2010-11-26,25
2011,15,2010-11-28,18
2011,16,2010-11-29,26
2011,17,2010-12-05,28
2011,18,2010-12-06,29
2011,19,2010-12-08,30
2011,20,2010-12-10,25
2011,21,2010-12-12,25
2011,22,2010-12-15,32
2011,23,2010-12-17,24
2011,24,2010-12-19,28
2011,25,2010-12-21,32
2011,26,2010-12-22,26
2011,27,2010-12-25,44
2011,28,2010-12-27,28
2011,29,2010-12-29,27
2011,30,2010-12-31,33
2011,31,2011-01-01,16
2011,32,2011-01-04,28
2011,33,2011-01-06,28
2011,34,2011-01-08,40
