total_games_played,cumulative_points
978,26474.152979278722
979,26500.8501095133
980,26527.547239747877
981,26554.244369982454
982,26580.94150021703
983,26607.63863045161
984,26634.335760686186
985,26661.03289092076
986,26687.730021155337
987,26714.427151389915
988,26741.124281624492
989,26767.82141185907
990,26794.518542093647
991,26821.215672328224
992,26847.9128025628
993,26874.60993279738
994,26901.307063031956
995,26928.004193266534
996,26954.701323501107
997,26981.398453735685
998,27008.095583970262
999,27034.79271420484
1000,27061.489844439417
1001,27088.186974673994
1002,27114.88410490857
1003,27141.58123514315
1004,27168.278365377726
1005,27194.975495612303
1006,27221.67262584688
1007,27248.369756081454
1008,27275.06688631603
1009,27301.76401655061
1010,27328.461146785186
1011,27355.158277019764
1012,27381.85540725434
1013,27408.55253748892
1014,27435.249667723496
1015,27461.946797958073
1016,27488.64392819265
1017,27515.341058427228
1018,27542.038188661805
1019,27568.73531889638
1020,27595.432449130956
1021,27622.129579365534
1022,27648.82670960011
1023,27675.52383983469
1024,27702.220970069266
1025,27728.918100303843
1026,27755.61523053842
1027,27782.312360772998
1028,27809.009491007575
1029,27835.706621242152
1030,27862.403751476726
1031,27889.100881711303
1032,27915.79801194588
1033,27942.495142180458
1034,27969.192272415035
1035,27995.889402649613
1036,28022.58653288419
1037,28049.283663118767
1038,28075.980793353345
1039,28102.677923587922
1040,28129.3750538225
1041,28156.072184057077
1042,28182.76931429165
1043,28209.466444526228
1044,28236.163574760805
1045,28262.860704995383
1046,28289.55783522996
1047,28316.254965464537
1048,28342.952095699115
1049,28369.649225933692
1050,28396.34635616827
1051,28423.043486402847
1052,28449.740616637424
1053,28476.437746871998
1054,28503.134877106575
1055,28529.832007341152
1056,28556.52913757573
1057,28583.226267810307
1058,28609.923398044884
1059,28636.62052827946
1060,28663.31765851404
1061,28690.014788748616
1062,28716.711918983194
1063,28743.40904921777
1064,28770.106179452345
1065,28796.803309686922
1066,28823.5004399215
1067,28850.197570156077
1068,28876.894700390654
1069,28903.59183062523
1070,28930.28896085981
1071,28956.986091094386
1072,28983.683221328964
1073,29010.38035156354
1074,29037.07748179812
1075,29063.774612032696
1076,29090.47174226727
1077,29117.168872501847
1078,29143.866002736424
1079,29170.563132971
1080,29197.26026320558
1081,29223.957393440156
1082,29250.654523674733
1083,29277.35165390931
1084,29304.048784143888
1085,29330.745914378465
1086,29357.443044613043
1087,29384.140174847616
1088,29410.837305082194
1089,29437.53443531677
1090,29464.23156555135
1091,29490.928695785926
1092,29517.625826020503
1093,29544.32295625508
1094,29571.020086489658
1095,29597.717216724235
1096,29624.414346958813
1097,29651.11147719339
1098,29677.808607427964
1099,29704.50573766254
1100,29731.20286789712
1101,29757.899998131696
1102,29784.597128366273
1103,29811.29425860085
1104,29837.991388835428
1105,29864.688519070005
1106,29891.385649304582
1107,29918.08277953916
1108,29944.779909773737
1109,29971.477040008314
1110,29998.174170242888
1111,30024.871300477465
1112,30051.568430712043
1113,30078.26556094662
1114,30104.962691181197
1115,30131.659821415775
1116,30158.356951650352
1117,30185.05408188493
1118,30211.751212119507
1119,30238.448342354084
1120,30265.14547258866
1121,30291.842602823235
1122,30318.539733057813
1123,30345.23686329239
1124,30371.933993526967
1125,30398.631123761545
1126,30425.328253996122
1127,30452.0253842307
1128,30478.722514465277
1129,30505.419644699854
1130,30532.11677493443
1131,30558.81390516901
1132,30585.511035403586
1133,30612.20816563816
1134,30638.905295872737
1135,30665.602426107314
1136,30692.29955634189
1137,30718.99668657647
1138,30745.693816811046
1139,30772.390947045624
1140,30799.0880772802
1141,30825.78520751478
1142,30852.482337749356
1143,30879.179467983933
1144,30905.876598218507
1145,30932.573728453084
1146,30959.27085868766
1147,30985.96798892224
1148,31012.665119156816
1149,31039.362249391394
1150,31066.05937962597
1151,31092.75650986055
1152,31119.453640095126
1153,31146.150770329703
1154,31172.84790056428
1155,31199.545030798854
1156,31226.24216103343
1157,31252.93929126801
1158,31279.636421502586
1159,31306.333551737163
1160,31333.03068197174
1161,31359.727812206318
1162,31386.424942440895
1163,31413.122072675473
1164,31439.81920291005
1165,31466.516333144627
1166,31493.213463379205
1167,31519.91059361378
1168,31546.607723848356
1169,31573.304854082933
1170,31600.00198431751
1171,31626.699114552088
1172,31653.396244786665
1173,31680.093375021243
1174,31706.79050525582
1175,31733.487635490397
1176,31760.184765724975
1177,31786.881895959552
1178,31813.579026194126
1179,31840.276156428703
1180,31866.97328666328
1181,31893.670416897858
1182,31920.367547132435
1183,31947.064677367012
1184,31973.76180760159
1185,32000.458937836167
1186,32027.156068070744
1187,32053.85319830532
1188,32080.5503285399
1189,32107.247458774473
1190,32133.94458900905
1191,32160.641719243627
1192,32187.338849478205
1193,32214.035979712782
1194,32240.73310994736
1195,32267.430240181937
1196,32294.127370416514
1197,32320.82450065109
1198,32347.52163088567
1199,32374.218761120246
1200,32400.915891354824
1201,32427.613021589397
1202,32454.310151823975
1203,32481.007282058552
1204,32507.70441229313
1205,32534.401542527707
1206,32561.098672762284
1207,32587.79580299686
1208,32614.49293323144
1209,32641.190063466016
1210,32667.887193700593
1211,32694.58432393517
1212,32721.281454169744
1213,32747.97858440432
1214,32774.6757146389
1215,32801.37284487348
1216,32828.069975108054
1217,32854.76710534263
1218,32881.46423557721
1219,32908.161365811786
1220,32934.85849604636
1221,32961.55562628094
1222,32988.25275651552
1223,33014.949886750095
1224,33041.64701698467
1225,33068.34414721925
1226,33095.04127745383
1227,33121.738407688405
1228,33148.43553792298
1229,33175.13266815756
1230,33201.82979839214
1231,33228.526928626714
1232,33255.22405886129
1233,33281.92118909587
1234,33308.618319330446
1235,33335.31544956502
1236,33362.0125797996
1237,33388.70971003418
1238,33415.406840268755
1239,33442.10397050333
1240,33468.80110073791
1241,33495.49823097247
1242,33522.19536120705
1243,33548.89249144163
1244,33575.589621676205
1245,33602.28675191078
1246,33628.98388214536
1247,33655.68101237994
1248,33682.378142614514
1249,33709.07527284909
1250,33735.77240308367
1251,33762.469533318246
1252,33789.16666355282
1253,33815.8637937874
1254,33842.56092402198
1255,33869.258054256556
1256,33895.95518449113
1257,33922.65231472571
1258,33949.34944496029
1259,33976.046575194865
1260,34002.74370542944
1261,34029.44083566402
1262,34056.1379658986
1263,34082.835096133174
1264,34109.53222636775
1265,34136.22935660233
1266,34162.92648683691
1267,34189.623617071484
1268,34216.32074730606
1269,34243.01787754064
1270,34269.715007775216
1271,34296.41213800979
1272,34323.10926824437
1273,34349.80639847895
1274,34376.503528713525
1275,34403.2006589481
1276,34429.89778918268
1277,34456.59491941726
1278,34483.292049651835
1279,34509.98917988641
1280,34536.68631012099
1281,34563.38344035557
1282,34590.080570590144
1283,34616.77770082472
1284,34643.4748310593
1285,34670.171961293876
1286,34696.86909152844
1287,34723.566221763016
1288,34750.26335199759
1289,34776.96048223217
1290,34803.65761246675
1291,34830.354742701325
1292,34857.0518729359
1293,34883.74900317048
1294,34910.44613340506
1295,34937.143263639635
1296,34963.84039387421
1297,34990.53752410879
1298,35017.23465434337
1299,35043.931784577944
1300,35070.62891481252
1301,35097.3260450471
1302,35124.023175281676
1303,35150.72030551625
1304,35177.41743575083
1305,35204.11456598541
1306,35230.811696219986
1307,35257.50882645456
1308,35284.20595668914
1309,35310.90308692372
1310,35337.600217158295
1311,35364.29734739287
1312,35390.99447762745
1313,35417.69160786203
1314,35444.388738096604
1315,35471.08586833118
1316,35497.78299856576
1317,35524.48012880034
1318,35551.177259034914
1319,35577.87438926949
1320,35604.57151950407
1321,35631.268649738646
1322,35657.96577997322
1323,35684.6629102078
1324,35711.36004044238
1325,35738.057170676955
1326,35764.75430091153
1327,35791.45143114611
1328,35818.14856138069
1329,35844.845691615265
1330,35871.54282184984
1331,35898.23995208442
1332,35924.93708231898
1333,35951.63421255356
1334,35978.33134278814
1335,36005.028473022714
1336,36031.72560325729
1337,36058.42273349187
1338,36085.119863726446
1339,36111.81699396102
1340,36138.5141241956
1341,36165.21125443018
1342,36191.908384664755
1343,36218.60551489933
1344,36245.30264513391
1345,36271.99977536849
1346,36298.696905603065
1347,36325.39403583764
1348,36352.09116607222
1349,36378.7882963068
1350,36405.485426541374
1351,36432.18255677595
1352,36458.87968701053
1353,36485.576817245106
1354,36512.27394747968
1355,36538.97107771426
1356,36565.66820794884
1357,36592.365338183416
1358,36619.06246841799
1359,36645.75959865257
1360,36672.45672888715
1361,36699.153859121725
1362,36725.8509893563
1363,36752.54811959088
1364,36779.24524982546
