year,game_number,date,points
2013,1,2013-01-15,3
2013,2,2013-01-16,7
2013,3,2013-01-18,8
2013,4,2013-01-19,2
2013,5,2013-01-21,10
2013,6,2013-01-23,0
2013,7,2013-01-25,2
2013,8,2013-01-26,0
2013,9,2013-01-28,3
2013,10,2013-02-05,11
2013,11,2013-02-08,2
2013,12,2013-02-10,6
2013,13,2013-02-12,7
2013,14,2013-02-13,5
2013,15,2013-02-20,0
2013,16,2013-02-22,9
2013,17,2013-02-23,15
2013,18,2013-02-27,3
2013,19,2013-03-01,13
2013,20,2013-03-03,9
2013,21,2013-03-06,0
2013,22,2013-03-08,0
2013,23,2013-03-09,0
2013,24,2013-03-13,6
2013,25,2013-03-15,0
2013,26,2013-03-17,0
2013,27,2013-03-20,7
2013,28,2013-03-22,11
2013,29,2013-03-24,11
2013,30,2013-03-27,9
2013,31,2013-03-29,9
2013,32,2013-03-30,9
2013,33,2013-04-01,5
2013,34,2013-04-03,2
2013,35,2013-04-05,7
2013,36,2013-04-06,7
2013,37,2013-04-09,9
2013,38,2013-04-12,3
2013,39,2013-04-14,7
2013,40,2013-04-15,5
2013,41,2013-04-17,6
2014,1,2013-10-30,5
2014,2,2013-11-05,12
2014,3,2013-11-07,3
2014,4,2013-11-09,19
2014,5,2013-11-11,1
2014,6,2013-11-13,12
2014,7,2013-11-14,5
2014,8,2013-11-16,11
2014,9,2013-11-19,16
2014,10,2013-11-20,9
2014,11,2013-11-23,17
2014,12,2013-11-25,9
2014,13,2013-11-27,7
2014,14,2013-11-29,5
2014,15,2013-11-30,11
2014,16,2013-12-02,8
2014,17,2013-12-04,12
2014,18,2013-12-06,6
2014,19,2013-12-08,9
2014,20,2013-12-12,9
2014,21,2013-12-13,16
2014,22,2013-12-15,6
2014,23,2013-12-18,15
2014,24,2013-12-20,8
2014,25,2013-12-21,10
2014,26,2014-01-20,17
2014,27,2014-01-22,6
2014,28,2014-01-24,3
2014,29,2014-01-25,9
2014,30,2014-01-28,11
2014,31,2014-01-29,11
2014,32,2014-02-01,0
2014,33,2014-02-05,8
2014,34,2014-02-08,15
2014,35,2014-02-10,14
2014,36,2014-02-19,10
2014,37,2014-02-20,2
2014,38,2014-02-23,20
2014,39,2014-02-25,5
2014,40,2014-02-26,5
2014,41,2014-03-01,19
2014,42,2014-03-04,19
2014,43,2014-03-05,4
2014,44,2014-03-07,9
2014,45,2014-03-09,12
2014,46,2014-03-11,2
2014,47,2014-03-13,9
2014,48,2014-03-16,15
2014,49,2014-03-17,19
2014,50,2014-03-20,14
2014,51,2014-03-22,15
2014,52,2014-03-24,8
2014,53,2014-03-27,5
2014,54,2014-04-12,20
2014,55,2014-04-14,12
2014,56,2014-04-16,14
2015,1,2014-10-28,9
2015,2,2014-10-29,7
2015,3,2014-11-04,15
2015,4,2014-11-16,12
2015,5,2014-11-17,10
2015,6,2014-11-19,15
2015,7,2014-11-22,20
2015,8,2014-12-06,19
2015,9,2014-12-10,12
2015,10,2014-12-11,15
2015,11,2014-12-13,9
2015,12,2014-12-17,12
2015,13,2014-12-18,9
2015,14,2014-12-20,14
2015,15,2014-12-22,11
2015,16,2014-12-26,12
2015,17,2014-12-28,5
2015,18,2014-12-29,10
2015,19,2014-12-31,14
2015,20,2015-01-02,3
2015,21,2015-01-03,11
2015,22,2015-01-05,14
2015,23,2015-01-07,7
