total_games_played,cumulative_points
560,4978.722402606573
561,4987.840710557747
562,4996.959018508921
563,5006.077326460095
564,5015.195634411269
565,5024.3139423624425
566,5033.432250313616
567,5042.550558264789
568,5051.668866215963
569,5060.787174167137
570,5069.905482118311
571,5079.023790069485
572,5088.1420980206585
573,5097.260405971832
574,5106.378713923006
575,5115.497021874179
576,5124.615329825353
577,5133.733637776527
578,5142.851945727701
579,5151.9702536788745
580,5161.088561630048
581,5170.206869581222
582,5179.325177532395
583,5188.443485483569
584,5197.561793434743
585,5206.680101385917
586,5215.798409337091
587,5224.916717288264
588,5234.035025239438
589,5243.153333190611
590,5252.271641141785
591,5261.389949092959
592,5270.508257044133
593,5279.626564995307
594,5288.74487294648
595,5297.863180897654
596,5306.981488848828
597,5316.099796800001
598,5325.218104751175
599,5334.336412702349
600,5343.454720653523
601,5352.573028604696
602,5361.69133655587
603,5370.809644507044
604,5379.927952458217
605,5389.046260409391
606,5398.164568360565
607,5407.282876311739
608,5416.4011842629125
609,5425.519492214086
610,5434.63780016526
611,5443.756108116433
612,5452.874416067607
613,5461.992724018781
614,5471.111031969955
615,5480.2293399211285
616,5489.347647872302
617,5498.465955823476
618,5507.58426377465
619,5516.702571725823
620,5525.820879676997
621,5534.939187628171
622,5544.0574955793445
623,5553.175803530518
624,5562.294111481692
625,5571.412419432866
626,5580.530727384039
627,5589.649035335213
628,5598.767343286387
629,5607.8856512375605
630,5617.003959188734
631,5626.122267139908
632,5635.240575091082
633,5644.358883042255
634,5653.477190993429
635,5662.595498944603
636,5671.7138068957765
637,5680.83211484695
638,5689.950422798124
639,5699.068730749298
640,5708.187038700471
641,5717.305346651645
642,5726.423654602819
643,5735.541962553993
644,5744.660270505166
645,5753.77857845634
646,5762.896886407514
647,5772.015194358688
648,5781.133502309861
649,5790.251810261035
650,5799.370118212209
651,5808.488426163382
652,5817.606734114556
653,5826.72504206573
654,5835.843350016904
655,5844.961657968077
656,5854.079965919251
657,5863.198273870425
658,5872.316581821598
659,5881.434889772772
660,5890.553197723946
661,5899.67150567512
662,5908.789813626293
663,5917.908121577467
664,5927.026429528641
665,5936.1447374798145
666,5945.263045430988
667,5954.381353382162
668,5963.499661333336
669,5972.61796928451
670,5981.736277235683
671,5990.854585186857
672,5999.9728931380305
673,6009.091201089204
674,6018.209509040378
675,6027.327816991552
676,6036.446124942726
677,6045.564432893899
678,6054.682740845073
679,6063.8010487962465
680,6072.91935674742
681,6082.037664698594
682,6091.155972649768
683,6100.274280600942
684,6109.392588552115
685,6118.510896503289
686,6127.6292044544625
687,6136.747512405636
688,6145.86582035681
689,6154.984128307984
690,6164.102436259158
691,6173.220744210332
692,6182.339052161505
693,6191.4573601126785
694,6200.575668063852
695,6209.693976015026
696,6218.8122839662
697,6227.930591917374
698,6237.048899868548
699,6246.167207819721
700,6255.285515770895
701,6264.403823722068
702,6273.522131673242
703,6282.640439624416
704,6291.75874757559
705,6300.877055526764
706,6309.995363477937
707,6319.113671429111
708,6328.231979380284
709,6337.350287331458
710,6346.468595282632
711,6355.586903233806
712,6364.70521118498
713,6373.823519136154
714,6382.941827087327
715,6392.0601350385
716,6401.178442989674
717,6410.296750940848
718,6419.415058892022
719,6428.533366843196
720,6437.65167479437
721,6446.769982745543
722,6455.8882906967165
723,6465.00659864789
724,6474.124906599064
725,6483.243214550238
726,6492.361522501412
727,6501.479830452586
728,6510.598138403759
729,6519.7164463549325
730,6528.834754306106
731,6537.95306225728
732,6547.071370208454
733,6556.189678159628
734,6565.307986110802
735,6574.426294061976
736,6583.5446020131485
737,6592.662909964322
738,6601.781217915496
739,6610.89952586667
740,6620.017833817844
741,6629.136141769018
742,6638.254449720192
743,6647.3727576713645
744,6656.491065622538
745,6665.609373573712
746,6674.727681524886
747,6683.84598947606
748,6692.964297427234
749,6702.082605378408
750,6711.2009133295805
751,6720.319221280754
752,6729.437529231928
753,6738.555837183102
754,6747.674145134276
755,6756.79245308545
756,6765.910761036624
757,6775.0290689877975
758,6784.14737693897
759,6793.265684890144
760,6802.383992841318
761,6811.502300792492
762,6820.620608743666
763,6829.73891669484
764,6838.8572246460135
765,6847.975532597186
766,6857.09384054836
767,6866.212148499534
768,6875.330456450708
769,6884.448764401882
770,6893.567072353056
771,6902.6853803042295
772,6911.803688255402
773,6920.921996206576
774,6930.04030415775
775,6939.158612108924
776,6948.276920060098
777,6957.395228011272
778,6966.5135359624455
779,6975.6318439136185
780,6984.750151864792
781,6993.868459815966
782,7002.98676776714
783,7012.105075718314
784,7021.223383669488
785,7030.341691620662
786,7039.459999571835
787,7048.578307523008
788,7057.696615474182
789,7066.814923425356
790,7075.93323137653
791,7085.051539327704
792,7094.169847278878
793,7103.288155230051
794,7112.406463181224
795,7121.524771132398
796,7130.643079083572
797,7139.761387034746
798,7148.87969498592
799,7157.998002937094
800,7167.116310888267
801,7176.23461883944
802,7185.352926790614
803,7194.471234741788
804,7203.589542692962
805,7212.707850644136
806,7221.82615859531
807,7230.944466546483
808,7240.062774497657
809,7249.18108244883
810,7258.299390400004
811,7267.417698351178
812,7276.536006302352
813,7285.654314253526
814,7294.7726222046995
815,7303.890930155873
816,7313.009238107046
817,7322.12754605822
818,7331.245854009394
819,7340.364161960568
820,7349.482469911742
821,7358.6007778629155
822,7367.719085814089
823,7376.837393765262
824,7385.955701716436
825,7395.07400966761
826,7404.192317618784
827,7413.310625569958
828,7422.4289335211315
829,7431.547241472305
830,7440.665549423479
831,7449.783857374652
832,7458.902165325826
833,7468.020473277
